code,name
,
46002,African Development Bank
XM-DAC-DAC-1601,"Bill & Melinda Gate Foundation"
XM-DAC-3-1,Denmark
GB-GOV-1,Department For International Development
XM-DAC-918-3,European Investment Bank
"XI-IATI-EC_DEVCO|XI-IATI-EC_ECHO",European Union
"XI-IATI-FR-3|FR-6",France
DE-1,Germany
47045,Global Fund
XM-DAC-41108,IFAD
"44000|44002",International Development Association
XM-DAC-21-1,Ireland
US-18,Millennium Challenge Corporation
NO-BRC-971277882,Norway
SE-0,Sweden
XM-DAC-41114,UNDP
41122,United Nations Children Fund
41119,United Nations Population Fund
41AAA,UNOPS
US-GOV-1,USAID
XM-DAC-41140,World Food Programme
LR-GOV,Government of Liberia
